 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אילת, 002600, 0043.0, 000663, 000304, 000003, 000301, 000038, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000032, 000000, 000012, 000097, 000010, 000000, 000000, 000002, 000000, 000000, 000000, 000057, 000000, 000000, 000000, 000000, 000000, 000001, 000026, 000000, 000000, 000012, 000001, 000012
אילת, 002600, 0044.0, 000731, 000205, 000001, 000204, 000018, 000000, 000001, 000000, 000000, 000000, 000000, 000004, 000000, 000001, 000017, 000002, 000007, 000059, 000006, 000000, 000001, 000003, 000000, 000000, 000000, 000029, 000003, 000000, 000000, 000000, 000000, 000002, 000025, 000000, 000000, 000008, 000001, 000017
אילת, 002600, 0045.0, 000538, 000225, 000007, 000218, 000012, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000001, 000033, 000000, 000001, 000072, 000001, 000000, 000000, 000011, 000000, 000000, 000000, 000033, 000003, 000001, 000000, 000000, 000000, 000000, 000017, 000000, 000001, 000004, 000003, 000023
אילת, 002600, 0046.0, 000522, 000320, 000003, 000317, 000033, 000001, 000000, 000000, 000001, 000000, 000000, 000009, 000000, 000000, 000034, 000000, 000007, 000113, 000007, 000000, 000000, 000004, 000000, 000000, 000000, 000053, 000001, 000000, 000000, 000000, 000001, 000002, 000023, 000000, 000000, 000003, 000002, 000023
אילת, 002600, 0047.0, 000615, 000349, 000008, 000341, 000037, 000000, 000000, 000000, 000000, 000000, 000000, 000007, 000000, 000000, 000032, 000005, 000006, 000107, 000004, 000000, 000000, 000006, 000000, 000000, 000000, 000060, 000002, 000000, 000000, 000000, 000000, 000005, 000026, 000000, 000000, 000006, 000001, 000037
אילת, 002600, 0048.0, 000660, 000390, 000003, 000387, 000061, 000001, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000000, 000035, 000000, 000011, 000083, 000019, 000000, 000002, 000003, 000001, 000000, 000000, 000099, 000003, 000000, 000000, 000000, 000000, 000007, 000034, 000001, 000000, 000007, 000002, 000013
אילת, 002600, 0049.0, 000615, 000208, 000002, 000206, 000022, 000001, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000002, 000009, 000000, 000006, 000068, 000011, 000000, 000000, 000001, 000000, 000000, 000000, 000039, 000002, 000000, 000000, 000000, 000000, 000000, 000021, 000000, 000000, 000010, 000001, 000010
אילת, 002600, 0050.0, 000556, 000250, 000001, 000249, 000021, 000000, 000000, 000000, 000000, 000001, 000000, 000007, 000000, 000000, 000017, 000002, 000009, 000076, 000015, 000000, 000000, 000005, 000000, 000000, 000000, 000042, 000000, 000000, 000000, 000000, 000000, 000001, 000027, 000000, 000000, 000008, 000001, 000017
אילת, 002600, 0051.0, 000697, 000322, 000004, 000318, 000040, 000001, 000001, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000033, 000000, 000009, 000087, 000009, 000000, 000000, 000006, 000000, 000000, 000000, 000065, 000002, 000000, 000000, 000000, 000001, 000006, 000031, 000002, 000000, 000005, 000002, 000016
אילת, 002600, 0052.0, 000611, 000169, 000007, 000162, 000019, 000001, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000017, 000000, 000004, 000060, 000003, 000000, 000000, 000002, 000000, 000001, 000000, 000021, 000000, 000000, 000000, 000000, 000000, 000002, 000014, 000000, 000000, 000008, 000001, 000008
אילת, 002600, 0053.0, 000568, 000248, 000001, 000247, 000024, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000024, 000001, 000005, 000081, 000001, 000000, 000000, 000002, 000000, 000000, 000000, 000064, 000000, 000001, 000000, 000000, 000000, 000002, 000017, 000001, 000000, 000003, 000000, 000018
אילת, 002600, 0054.0, 000493, 000215, 000004, 000211, 000028, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000033, 000000, 000007, 000050, 000004, 000000, 000000, 000008, 000000, 000000, 000000, 000048, 000001, 000000, 000000, 000000, 000000, 000000, 000018, 000000, 000000, 000004, 000000, 000008
אילת, 002600, 0055.0, 000544, 000328, 000001, 000327, 000049, 000002, 000000, 000000, 000000, 000000, 000002, 000002, 000000, 000000, 000026, 000000, 000018, 000064, 000011, 000000, 000000, 000002, 000000, 000000, 000000, 000093, 000003, 000000, 000000, 000000, 000001, 000005, 000038, 000000, 000001, 000003, 000000, 000007
אילת, 002600, 0057.0, 000628, 000205, 000004, 000201, 000022, 000002, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000017, 000004, 000010, 000074, 000002, 000000, 000000, 000003, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000000, 000003, 000006, 000000, 000000, 000008, 000001, 000025
אילת, 002600, 0060.0, 000765, 000386, 000006, 000380, 000031, 000000, 000001, 000000, 000000, 000000, 000000, 000002, 000000, 000001, 000039, 000000, 000021, 000103, 000006, 000000, 000001, 000004, 000000, 000002, 000002, 000082, 000001, 000000, 000000, 000000, 000000, 000006, 000038, 000000, 000000, 000019, 000001, 000020
אילת, 002600, 0061.0, 000649, 000116, 000001, 000115, 000013, 000000, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000000, 000009, 000001, 000003, 000037, 000002, 000000, 000000, 000002, 000000, 000002, 000000, 000027, 000003, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000005, 000000, 000006
אילת, 002600, 0062.0, 000483, 000123, 000001, 000122, 000012, 000000, 000000, 000000, 000001, 000000, 000001, 000000, 000000, 000000, 000014, 000001, 000005, 000053, 000007, 000000, 000000, 000002, 000000, 000000, 000001, 000011, 000002, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000001, 000000, 000006
אילת, 002600, 0063.0, 000456, 000153, 000005, 000148, 000014, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000016, 000001, 000002, 000048, 000002, 000000, 000000, 000001, 000000, 000000, 000000, 000019, 000008, 000000, 000000, 000000, 000000, 000002, 000010, 000000, 000000, 000005, 000000, 000019
אילת, 002600, 0064.0, 000552, 000234, 000006, 000228, 000019, 000001, 000000, 000000, 000000, 000001, 000000, 000001, 000000, 000001, 000022, 000001, 000002, 000103, 000009, 000000, 000000, 000005, 000000, 000003, 000000, 000021, 000000, 000000, 000000, 000000, 000001, 000001, 000018, 000000, 000000, 000003, 000001, 000015
אילת, 002600, 0065.0, 000621, 000383, 000002, 000381, 000052, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000025, 000001, 000011, 000101, 000014, 000000, 000000, 000001, 000000, 000000, 000000, 000097, 000005, 000001, 000000, 000000, 000000, 000006, 000027, 000000, 000002, 000012, 000001, 000024
אילת, 002600, 0066.0, 000730, 000400, 000008, 000392, 000040, 000001, 000000, 000000, 000001, 000000, 000002, 000000, 000000, 000002, 000027, 000002, 000021, 000126, 000010, 000000, 000000, 000000, 000000, 000001, 000000, 000081, 000002, 000000, 000000, 000001, 000000, 000005, 000036, 000002, 000001, 000008, 000004, 000019
אילת, 002600, 0067.0, 000650, 000361, 000003, 000358, 000038, 000001, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000001, 000030, 000000, 000004, 000105, 000006, 000000, 000001, 000008, 000001, 000000, 000000, 000073, 000002, 000001, 000000, 000000, 000000, 000002, 000045, 000000, 000000, 000007, 000000, 000031
אילת, 002600, 0068.0, 000712, 000412, 000006, 000406, 000044, 000001, 000002, 000000, 000003, 000000, 000001, 000009, 000000, 000000, 000043, 000002, 000011, 000120, 000005, 000000, 000000, 000006, 000000, 000000, 000001, 000083, 000005, 000000, 000000, 000000, 000000, 000002, 000024, 000000, 000000, 000004, 000000, 000040
אילת, 002600, 0069.0, 000639, 000308, 000006, 000302, 000035, 000002, 000001, 000000, 000001, 000000, 000006, 000000, 000000, 000001, 000024, 000003, 000012, 000077, 000007, 000000, 000001, 000002, 000001, 000001, 000000, 000060, 000002, 000001, 000000, 000000, 000000, 000002, 000040, 000000, 000000, 000009, 000002, 000012
אילת, 002600, 0070.0, 000665, 000377, 000002, 000375, 000049, 000004, 000000, 000000, 000000, 000000, 000003, 000003, 000000, 000000, 000025, 000000, 000016, 000113, 000008, 000000, 000000, 000002, 000000, 000000, 000000, 000070, 000005, 000000, 000000, 000000, 000000, 000006, 000032, 000000, 000000, 000009, 000001, 000029
אילת, 002600, 0071.0, 000517, 000137, 000003, 000134, 000017, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000008, 000000, 000002, 000045, 000001, 000000, 000000, 000002, 000000, 000001, 000029, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000015, 000000, 000000, 000004, 000000, 000008
אילת, 002600, 0072.0, 000577, 000348, 000004, 000344, 000044, 000000, 000000, 000000, 000000, 000000, 000002, 000005, 000000, 000001, 000043, 000000, 000009, 000114, 000004, 000000, 000000, 000003, 000000, 000000, 000000, 000068, 000000, 000000, 000000, 000000, 000000, 000007, 000019, 000000, 000000, 000002, 000000, 000023
אילת, 002600, 0073.0, 000471, 000185, 000001, 000184, 000026, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000002, 000011, 000000, 000007, 000061, 000010, 000000, 000000, 000003, 000000, 000000, 000000, 000022, 000001, 000001, 000000, 000000, 000000, 000002, 000020, 000000, 000000, 000001, 000000, 000014
אילת, 002600, 0074.0, 000643, 000364, 000003, 000361, 000039, 000002, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000000, 000031, 000001, 000016, 000102, 000007, 000000, 000000, 000004, 000001, 000000, 000000, 000070, 000003, 000000, 000000, 000000, 000000, 000006, 000031, 000001, 000000, 000007, 000000, 000037
אילת, 002600, 0075.0, 000658, 000357, 000001, 000356, 000048, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000029, 000003, 000010, 000104, 000004, 000000, 000000, 000004, 000000, 000000, 000000, 000082, 000001, 000000, 000000, 000000, 000000, 000009, 000025, 000000, 000000, 000010, 000000, 000025
אילת, 002600, 0076.0, 000670, 000365, 000003, 000362, 000040, 000001, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000000, 000033, 000000, 000006, 000109, 000005, 000001, 000000, 000013, 000000, 000000, 000000, 000070, 000004, 000000, 000000, 000000, 000000, 000010, 000029, 000000, 000000, 000007, 000000, 000029
אילת, 002600, 0077.0, 000555, 000321, 000003, 000318, 000031, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000000, 000000, 000025, 000000, 000012, 000104, 000004, 000000, 000000, 000002, 000000, 000002, 000000, 000063, 000002, 000001, 000000, 000000, 000000, 000004, 000030, 000000, 000000, 000007, 000000, 000029
אילת, 002600, 0078.0, 000520, 000289, 000003, 000286, 000027, 000001, 000000, 000000, 000001, 000000, 000000, 000001, 000000, 000000, 000014, 000003, 000006, 000093, 000002, 000000, 000000, 000001, 000000, 000000, 000000, 000067, 000000, 000000, 000000, 000000, 000000, 000004, 000033, 000000, 000000, 000004, 000001, 000028
אילת, 002600, 0079.0, 000612, 000369, 000006, 000363, 000050, 000001, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000036, 000000, 000019, 000113, 000001, 000000, 000000, 000005, 000000, 000000, 000000, 000069, 000002, 000000, 000000, 000000, 000000, 000004, 000027, 000000, 000000, 000007, 000003, 000024
אילת, 002600, 0080.0, 000640, 000253, 000004, 000249, 000029, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000014, 000001, 000010, 000100, 000002, 000000, 000000, 000004, 000000, 000000, 000000, 000027, 000001, 000000, 000000, 000000, 000001, 000000, 000019, 000000, 000001, 000004, 000000, 000034
אילת, 002600, 0081.0, 000719, 000406, 000005, 000401, 000049, 000002, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000001, 000025, 000002, 000012, 000104, 000007, 000000, 000000, 000007, 000000, 000000, 000000, 000101, 000006, 000000, 000000, 000000, 000000, 000007, 000040, 000000, 000000, 000003, 000003, 000030
אילת, 002600, 0082.0, 000460, 000274, 000003, 000271, 000025, 000001, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000002, 000029, 000000, 000009, 000082, 000002, 000000, 000000, 000001, 000000, 000000, 000000, 000053, 000001, 000000, 000000, 000000, 000002, 000004, 000026, 000000, 000000, 000002, 000001, 000030
איתמר, 003762, 0001.0, 000453, 000349, 000000, 000349, 000001, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000192, 000000, 000000, 000022, 000001, 000000, 000000, 000114, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000001, 000001, 000000, 000000, 000000, 000000, 000000, 000009
איתן, 000037, 0001.0, 000304, 000223, 000001, 000222, 000004, 000002, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000044, 000000, 000009, 000042, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000000, 000000, 000103
אכסאל, 000478, 0001.0, 000627, 000279, 000005, 000274, 000002, 000002, 000052, 000000, 000000, 000000, 000093, 000001, 000000, 000000, 000000, 000000, 000000, 000004, 000024, 000000, 000000, 000000, 000000, 000070, 000000, 000015, 000001, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000001, 000001, 000000, 000003
אכסאל, 000478, 0002.0, 000633, 000298, 000005, 000293, 000002, 000001, 000027, 000000, 000000, 000000, 000101, 000000, 000000, 000000, 000000, 000001, 000000, 000013, 000010, 000000, 000000, 000000, 000000, 000120, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000001, 000000, 000000, 000013
אכסאל, 000478, 0003.0, 000667, 000291, 000003, 000288, 000006, 000003, 000062, 000000, 000000, 000000, 000095, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000005, 000000, 000000, 000001, 000000, 000093, 000000, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000013
אכסאל, 000478, 0004.0, 000738, 000359, 000003, 000356, 000002, 000000, 000051, 000000, 000001, 000000, 000145, 000000, 000000, 000000, 000000, 000000, 000001, 000009, 000038, 000000, 000000, 000000, 000000, 000096, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000009
אכסאל, 000478, 0005.0, 000702, 000342, 000003, 000339, 000002, 000000, 000066, 000000, 000000, 000000, 000119, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000023, 000000, 000000, 000001, 000000, 000095, 000000, 000006, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000023
אכסאל, 000478, 0006.0, 000723, 000350, 000005, 000345, 000001, 000002, 000032, 000000, 000000, 000000, 000124, 000000, 000000, 000001, 000000, 000000, 000000, 000013, 000009, 000000, 000000, 000000, 000000, 000135, 000002, 000002, 000000, 000000, 000000, 000001, 000000, 000000, 000005, 000001, 000000, 000000, 000001, 000016
אכסאל, 000478, 0007.0, 000761, 000364, 000013, 000351, 000002, 000000, 000077, 000000, 000001, 000001, 000124, 000002, 000000, 000000, 000000, 000000, 000000, 000005, 000020, 000000, 000000, 000000, 000000, 000095, 000000, 000004, 000000, 000000, 000000, 000001, 000001, 000001, 000001, 000000, 000001, 000000, 000000, 000015
אכסאל, 000478, 0008.0, 000723, 000342, 000006, 000336, 000004, 000000, 000041, 000000, 000000, 000000, 000104, 000000, 000000, 000000, 000000, 000000, 000000, 000015, 000022, 000000, 000000, 000000, 000000, 000123, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000000, 000019
אכסאל, 000478, 0009.0, 000616, 000292, 000000, 000292, 000000, 000000, 000065, 000000, 000000, 000000, 000094, 000000, 000000, 000000, 000001, 000000, 000000, 000004, 000026, 000000, 000000, 000000, 000000, 000085, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000010
אכסאל, 000478, 0010.0, 000760, 000371, 000003, 000368, 000003, 000000, 000067, 000000, 000000, 000000, 000197, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000009, 000000, 000000, 000000, 000001, 000074, 000000, 000003, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000001, 000009
אכסאל, 000478, 0011.0, 000765, 000318, 000000, 000318, 000004, 000000, 000072, 000000, 000000, 000000, 000090, 000000, 000000, 000000, 000000, 000000, 000000, 000020, 000020, 000000, 000000, 000000, 000000, 000085, 000000, 000005, 000000, 000000, 000000, 000001, 000000, 000001, 000004, 000000, 000000, 000000, 000001, 000015
אל סייד, 001359, 0001.0, 000293, 000136, 000001, 000135, 000019, 000000, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000078, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000030
אל-עריאן, 001316, 0001.0, 000107, 000078, 000000, 000078, 000001, 000000, 000036, 000000, 000000, 000000, 000008, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000001, 000000
אל-רום, 004003, 0001.0, 000285, 000186, 000001, 000185, 000069, 000000, 000000, 000000, 000000, 000000, 000002, 000003, 000000, 000000, 000002, 000000, 000002, 000013, 000025, 000001, 000000, 000001, 000000, 000000, 000000, 000034, 000000, 000000, 000000, 000000, 000000, 000000, 000025, 000000, 000000, 000007, 000001, 000000
אלומה, 001145, 0001.0, 000285, 000254, 000000, 000254, 000000, 000081, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000168
אלומות, 000330, 0001.0, 000239, 000163, 000002, 000161, 000068, 000001, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000004, 000000, 000003, 000007, 000029, 000000, 000000, 000000, 000000, 000000, 000000, 000036, 000000, 000000, 000000, 000000, 000000, 000003, 000005, 000000, 000000, 000002, 000001, 000000
אלון הגליל, 001182, 0001.0, 000664, 000511, 000001, 000510, 000181, 000000, 000000, 000000, 000000, 000000, 000002, 000004, 000000, 000000, 000006, 000000, 000004, 000036, 000101, 000000, 000000, 000005, 000000, 000000, 000000, 000109, 000000, 000000, 000000, 000000, 000000, 000003, 000047, 000000, 000002, 000007, 000003, 000000
אלון מורה, 003579, 0001.0, 000453, 000368, 000003, 000365, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000196, 000000, 000000, 000049, 000000, 000000, 000000, 000104, 000000, 000000, 000000, 000004, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000004
אלון מורה, 003579, 0002.0, 000432, 000354, 000004, 000350, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000200, 000000, 000000, 000044, 000000, 000000, 000000, 000087, 000000, 000000, 000000, 000002, 000005, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000009
אלון שבות, 003604, 0001.0, 000604, 000495, 000005, 000490, 000008, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000346, 000000, 000001, 000064, 000000, 000000, 000000, 000042, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000000, 000001, 000009, 000002, 000000, 000000, 000001, 000000, 000005
אלון שבות, 003604, 0002.0, 000698, 000571, 000003, 000568, 000007, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000409, 000000, 000000, 000084, 000000, 000000, 000000, 000032, 000000, 000000, 000000, 000013, 000001, 000000, 000000, 000001, 000000, 000011, 000000, 000000, 000000, 000003, 000000, 000005
אלון שבות, 003604, 0003.0, 000583, 000493, 000004, 000489, 000009, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000323, 000000, 000000, 000080, 000005, 000000, 000000, 000043, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000001, 000016, 000001, 000000, 000000, 000003, 000000, 000001
אלוני אבא, 000429, 0001.0, 000550, 000462, 000000, 000462, 000136, 000000, 000000, 000000, 000001, 000000, 000002, 000004, 000000, 000000, 000010, 000000, 000005, 000041, 000065, 000000, 000000, 000000, 000000, 000000, 000000, 000133, 000001, 000000, 000000, 000000, 000000, 000006, 000054, 000001, 000000, 000002, 000000, 000001
אלוני הבשן, 004017, 0001.0, 000168, 000140, 000000, 000140, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000099, 000000, 000000, 000021, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000003
אלוני יצחק, 000868, 0001.0, 000115, 000028, 000000, 000028, 000009, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000004, 000000, 000000, 000005, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000000, 000000, 000000, 000000
אלונים, 000285, 0001.0, 000509, 000388, 000001, 000387, 000195, 000001, 000000, 000000, 000000, 000000, 000000, 000007, 000000, 000000, 000008, 000000, 000010, 000013, 000035, 000000, 000000, 000002, 000000, 000000, 000000, 000082, 000000, 000000, 000000, 000000, 000000, 000000, 000021, 000000, 000000, 000009, 000002, 000002
אלי-עד, 004002, 0001.0, 000239, 000172, 000000, 000172, 000036, 000000, 000000, 000000, 000000, 000000, 000000, 000010, 000000, 000000, 000032, 000000, 000002, 000012, 000010, 000000, 000000, 000001, 000000, 000000, 000000, 000041, 000001, 000000, 000000, 000000, 000000, 000004, 000010, 000000, 000000, 000009, 000002, 000002
אליכין, 000041, 0001.0, 000486, 000340, 000003, 000337, 000020, 000005, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000050, 000000, 000003, 000138, 000003, 000000, 000000, 000003, 000000, 000000, 000000, 000023, 000029, 000000, 000000, 000000, 000000, 000003, 000002, 000001, 000000, 000002, 000000, 000054
אליכין, 000041, 0002.0, 000606, 000458, 000003, 000455, 000056, 000003, 000000, 000000, 000000, 000000, 000001, 000006, 000000, 000000, 000071, 000000, 000010, 000124, 000011, 000000, 000000, 000008, 000000, 000000, 000000, 000063, 000037, 000000, 000000, 000000, 000000, 000011, 000013, 000000, 000000, 000005, 000001, 000035
אליכין, 000041, 0003.0, 000645, 000468, 000006, 000462, 000047, 000006, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000077, 000000, 000014, 000105, 000006, 000000, 000000, 000010, 000000, 000000, 000000, 000032, 000064, 000000, 000000, 000001, 000001, 000014, 000010, 000000, 000000, 000005, 000000, 000066
אליכין, 000041, 0004.0, 000558, 000422, 000000, 000422, 000034, 000004, 000000, 000000, 000000, 000000, 000000, 000009, 000000, 000000, 000070, 000001, 000011, 000107, 000006, 000000, 000000, 000012, 000000, 000000, 000000, 000038, 000043, 000000, 000000, 000000, 000000, 000010, 000011, 000000, 000000, 000006, 000001, 000059
אליפלט, 000730, 0001.0, 000410, 000263, 000002, 000261, 000009, 000001, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000034, 000000, 000009, 000130, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000013, 000007, 000000, 000000, 000001, 000000, 000000, 000016, 000000, 000000, 000003, 000002, 000028
אליקים, 000682, 0001.0, 000521, 000372, 000002, 000370, 000010, 000007, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000056, 000000, 000013, 000110, 000004, 000000, 000000, 000009, 000000, 000000, 000000, 000022, 000093, 000000, 000000, 000000, 000002, 000007, 000003, 000002, 000000, 000000, 000001, 000029
אלישיב, 000204, 0001.0, 000449, 000349, 000004, 000345, 000029, 000004, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000048, 000000, 000023, 000103, 000012, 000000, 000000, 000005, 000001, 000000, 000000, 000030, 000012, 000000, 000000, 000001, 000000, 000017, 000015, 000000, 000000, 000006, 000000, 000037
אלישמע, 000841, 0001.0, 000358, 000277, 000000, 000277, 000028, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000031, 000000, 000009, 000085, 000003, 000000, 000000, 000002, 000000, 000000, 000000, 000054, 000004, 000000, 000000, 000001, 000000, 000001, 000015, 000001, 000000, 000005, 000001, 000036
אלישמע, 000841, 0002.0, 000399, 000309, 000003, 000306, 000039, 000001, 000000, 000000, 000055, 000000, 000001, 000002, 000000, 000001, 000022, 000000, 000010, 000085, 000003, 000000, 000000, 000001, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000025, 000000, 000000, 000005, 000001, 000050
אלמגור, 001125, 0001.0, 000253, 000204, 000000, 000204, 000046, 000000, 000000, 000000, 000000, 000000, 000002, 000010, 000000, 000000, 000003, 000000, 000006, 000012, 000026, 000001, 000000, 000000, 000000, 000000, 000000, 000057, 000001, 000000, 000000, 000000, 000000, 000003, 000032, 000000, 000000, 000004, 000001, 000000
אלמוג, 003556, 0001.0, 000140, 000104, 000000, 000104, 000057, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000002, 000010, 000002, 000000, 000000, 000002, 000000, 000000, 000000, 000018, 000000, 000000, 000000, 000000, 000000, 000003, 000005, 000000, 000001, 000002, 000000, 000000
אלעד, 001309, 0001.0, 000590, 000517, 000004, 000513, 000001, 000088, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000046, 000000, 000000, 000010, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000003, 000042, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000001, 000001, 000308
אלעד, 001309, 0002.0, 000453, 000378, 000001, 000377, 000003, 000034, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000070, 000000, 000000, 000020, 000000, 000000, 000000, 000027, 000000, 000000, 000000, 000002, 000019, 000000, 000000, 000000, 000000, 000002, 000001, 000000, 000000, 000001, 000000, 000198
אלעד, 001309, 0003.0, 000676, 000585, 000005, 000580, 000003, 000097, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000047, 000000, 000000, 000009, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000001, 000041, 000000, 000000, 000000, 000002, 000002, 000000, 000000, 000000, 000000, 000000, 000368
אלעד, 001309, 0004.0, 000533, 000497, 000002, 000495, 000001, 000285, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000014, 000000, 000000, 000000, 000017, 000000, 000000, 000000, 000000, 000012, 000000, 000000, 000000, 000001, 000004, 000000, 000000, 000000, 000000, 000000, 000142
אלעד, 001309, 0005.0, 000629, 000556, 000005, 000551, 000000, 000180, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000068, 000000, 000000, 000015, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000001, 000028, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000235
